YEAR,VALUE
2003,40525
2004,42701
2005,45068
2006,47582
2007,47510
2008,48159
2009,46494
2010,46617
2011,48097
2012,49544
2013,48087
2014,49547
2015,52062
2016,52838
2017,55325
2018,56457
2019,57128
2020,57644
2021,63905
2022,67883
