YEAR,VALUE
2003,50101
2004,52764
2005,55854
2006,57563
2007,58331
2008,61179
2009,58708
2010,57788
2011,58050
2012,62103
2013,60524
2014,65651
2015,69753
2016,71166
2017,73905
2018,75387
2019,77356
2020,74791
2021,83854
2022,91074
