,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target
208,2020-05,60254,76476,78566,54059,0.0,7009,20491.313,5.4,85.9732,3.2325,1180,1171,263.3,13.2,12.7,331756.67,216.98
209,2020-06,60776,76939,79321,54398,0.5,7170,21069.483,3.8,91.5625,3.1625,1183,1244,263.3,11.0,10.1,331814.34,217.616
210,2020-07,61298,77402,80076,54737,0.5,7195,21647.64,3.4,95.0144,3.016,1201,1314,261.4,10.2,8.9,331872.0,219.378
211,2020-08,61820,77865,80831,55076,0.3,7225,21773.26,3.3,95.8881,2.935,1213,1238,261.4,8.4,7.6,331929.67,222.391
212,2020-09,62342,78328,81586,55415,0.1,7256,21898.88,3.4,95.8444,2.89,1218,1446,263.3,7.9,7.1,331987.34,225.837
213,2020-10,62864,78791,82341,55754,0.0,7310,22024.502,3.3,96.4292,2.834,1228,1370,263.3,6.9,6.8,332045.0,229.753
214,2020-11,63386,79254,83096,56093,-0.1,7317,22216.392,4.0,96.8564,2.765,1248,1240,263.3,6.7,7.3,332026.33,233.208
215,2020-12,63908,79717,83851,56432,0.1,7355,22408.282,4.1,97.9754,2.684,1262,1386,263.3,6.7,9.6,332007.66,236.486
216,2021-01,64237,80240,84456,56802,0.4,7363,22600.185,4.0,98.7836,2.735,1282,1344,263.5,6.3,9.4,331989.0,239.56
217,2021-02,64569,80768,85058,57169,0.5,7291,22830.915,4.9,95.3744,2.81,1286,1322,264.4,6.2,9.6,332042.33,242.369
218,2021-03,64901,81296,85660,57536,0.7,7395,23061.645,4.4,98.1351,3.0825,1308,1459,264.3,6.1,8.6,332095.66,245.465
219,2021-04,65233,81824,86262,57903,0.8,7406,23292.362,4.7,98.2886,3.06,1320,1438,265.7,6.1,7.7,332149.0,249.07
220,2021-05,65565,82352,86864,58270,0.8,7394,23471.232,5.6,99.1508,2.9625,1338,1337,269.0,5.8,6.7,332259.33,253.407
221,2021-06,65897,82880,87466,58637,0.9,7400,23650.102,5.8,99.5096,2.975,1372,1298,269.0,5.9,7.5,332369.66,258.358
222,2021-07,66229,83408,88068,59004,0.5,7415,23828.973,5.7,100.1231,2.868,1387,1361,271.816,5.4,6.1,332480.0,262.82
223,2021-08,66561,83936,88670,59371,0.2,7431,24104.183,6.5,100.1255,2.8425,1412,1312,271.816,5.2,4.6,332582.0,266.845
224,2021-09,66893,84464,89272,59738,0.3,7472,24379.393,6.0,99.0614,2.9,1437,1232,271.816,4.8,4.5,332684.0,270.377
225,2021-10,67225,84992,89874,60105,0.8,7514,24654.603,6.8,100.3045,3.0675,1464,1259,271.816,4.5,4.0,332786.0,273.725
226,2021-11,67557,85520,90476,60472,0.5,7560,24779.443,6.0,101.1971,3.0675,1493,1389,278.675,4.2,4.7,332850.0,277.21
227,2021-12,67889,86048,91078,60839,0.3,7594,24904.283,5.6,100.886,3.098,1526,1337,278.675,3.9,5.0,332914.0,281.342
