date,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,houses_for_sale_to_sold_rate,HOUSES_S2S_TREND,CPI cum_sum,House for sale to sold cum_sum,Private house under Construction cum_sum,Private owned house cum_sum,Private house under Construction Rate,Private owned house rate,Private house under Construction Rate Trend,Private owned house rate trend
76,2009-05,46544,115059,58323,42322,0.3,6100,14403.786,2.2300144001592104,84.9516,4.8575,650,818,197.0,9.4,2.954910279033736,307101.67,147.694,0.0469023369361684,UP,-0.032311931040791275,DOWN,-0.17601757538553175,DOWN,-0.06098475143843758,DOWN,16.8,138.83362170999084,89025,124943,0.11759771163364789,0.09794203865823388,UP,UP
77,2009-06,46554,114869,58246,42195,0.9,6010,14426.336,2.1400661634962708,84.6928,5.42,627,797,197.0,9.5,2.856470206220483,307337.34,148.09,0.046939743800737,UP,-0.031493444577237954,DOWN,-0.18246020497441934,DOWN,-0.10215604828266832,DOWN,17.7,140.9736878734871,89652,125740,0.11237255485080132,0.09427047871214081,UP,UP
78,2009-07,46564,114679,58169,42068,-0.2,5932,14448.882,2.066862759472976,85.7044,5.222,611,797,197.0,9.5,2.9014215940827497,307573.0,148.41,0.046977081863492566,DOWN,-0.030676988163606252,DOWN,-0.1881485566968686,DOWN,-0.1289684903005904,DOWN,17.5,143.04055063296008,90263,126537,0.10731597687692887,0.09113436385993329,UP,UP
79,2009-08,46574,114489,58092,41941,0.2,5855,14516.342,2.0149030205422647,86.6617,5.1925,588,792,197.0,9.6,2.803360380906535,307810.33,148.278,0.04716002221237994,UP,-0.019491919013924445,DOWN,-0.19476867647658277,DOWN,-0.18517910538380203,DOWN,17.7,145.05545365350235,90851,127329,0.10233083753768142,0.08860837454555386,UP,UP
80,2009-09,46584,114299,58015,41814,0.1,5787,14583.802,2.0541237336955462,87.4033,5.0575,576,721,197.0,9.8,2.8390784635086144,308047.66,148.025,0.04734268067480208,UP,-0.008285563766453103,DOWN,-0.19656216804225807,DOWN,-0.15092622045249282,DOWN,17.8,147.1095773871979,91427,128050,0.09768867200738332,0.0843497701030923,UP,UP
81,2009-10,46594,114109,57938,41687,0.1,5716,14651.249,2.0014800002101243,87.6035,4.952,554,746,197.0,10.0,2.928523523860541,308285.0,147.85,0.04752501419141379,UP,0.002941956822507747,UP,-0.19791545598036087,DOWN,-0.20261127755706893,DOWN,17.900000000000002,149.11105738740804,91981,128796,0.09322062810200171,0.08123457784965074,UP,UP
82,2009-11,46604,113919,57861,41560,0.1,5696,14689.039,2.028148247292285,87.9559,4.875,532,844,197.0,9.9,2.9652730660692823,308490.33,148.134,0.0476158815091546,UP,0.009571814764717487,UP,-0.1790683776818565,DOWN,-0.18225394712716134,DOWN,18.000000000000004,151.13920563470032,92513,129640,0.08898946716998112,0.07874572437466776,UP,UP
83,2009-12,46614,113729,57784,41433,-0.2,5654,14726.829,2.0794415416798357,88.2468,4.93,517,750,197.0,9.9,3.122364924487357,308695.66,147.929,0.04770662794546578,DOWN,0.016211554900066868,UP,-0.16989350971963502,DOWN,-0.14997822355999796,DOWN,17.800000000000004,153.21864717638016,93030,130390,0.08508423860285073,0.07602950184277688,UP,UP
84,2010-01,46740,113866,57810,41702,0.3,5580,14764.61,2.0918640616783932,89.1911,5.03,501,689,196.5,9.8,3.2068032436339315,308901.0,147.396,0.04779722305852037,UP,0.02286122153587403,UP,-0.16286833081561602,DOWN,-0.17880938366225577,DOWN,18.100000000000005,155.31051123805855,93531,131079,0.08133277332305412,0.07489054288260123,UP,UP
85,2010-02,46863,113998,57832,41970,0.0,5500,14836.47,2.1162555148025524,89.4972,4.99,493,670,196.5,9.8,3.299533727885655,309096.67,145.631,0.04799944949261343,DOWN,0.028864655670665575,UP,-0.15871169115482084,DOWN,-0.10535211240499726,DOWN,18.100000000000005,157.4267667528611,94024,131749,0.07786036483131138,0.07327748318262745,UP,UP
86,2010-03,46986,114130,57854,42238,0.4,5537,14908.33,1.9600947840472698,90.1419,4.9675,492,635,196.5,9.9,3.214867803470662,309292.34,145.859,0.048201420054567144,UP,0.03484595019737049,UP,-0.12766720274706245,DOWN,-0.20159855164274126,DOWN,18.500000000000004,159.38686153690838,94516,132384,0.07487003823632629,0.07125671091587382,UP,UP
87,2010-04,47109,114262,57876,42506,0.2,5553,14980.193,1.824549292051046,90.4591,5.098,488,737,196.0,9.9,3.0819099697950434,309488.0,146.403,0.04840314648710128,UP,0.04080456053992613,UP,-0.10276395464037995,DOWN,-0.2616598010858072,DOWN,18.700000000000003,161.21141082895943,95004,133121,0.07232987176056026,0.06996936669857746,UP,UP
88,2010-05,47232,114394,57898,42774,0.1,5520,15033.993,2.2300144001592104,91.702,4.8875,476,702,196.0,9.6,3.0007198150650303,309708.0,146.394,0.048542475493045065,UP,0.042822748451795976,UP,-0.09991091089026166,DOWN,0.0,DOWN,18.800000000000004,163.44142522911864,95480,133823,0.06999957230678798,0.06866039797436944,UP,UP
89,2010-06,47355,114526,57920,43042,-0.1,5516,15087.793,2.1162555148025524,91.8997,4.7375,447,894,196.0,9.4,3.0007198150650303,309928.0,145.721,0.04868160669574869,DOWN,0.04483058119491604,UP,-0.0857717886160608,DOWN,-0.01118848568412539,DOWN,18.700000000000003,165.5576807439212,95927,134717,0.06765197675610185,0.06895999888260587,UP,UP
90,2010-07,47478,114658,57942,43310,0.0,5508,15141.607,2.186051276738094,92.2522,4.564,443,572,196.0,9.4,2.8507065015037334,310148.0,144.991,0.04882058565588042,DOWN,0.04682934372200129,UP,-0.07415984340927721,DOWN,0.05606496386078632,UP,18.700000000000003,167.74373202065928,96370,135289,0.06546731870226313,0.06687847553938768,UP,UP
91,2010-08,47601,114790,57964,43578,0.1,5524,15197.567,2.174751721484161,92.5899,4.4275,444,592,196.0,9.5,2.833213344056216,310371.0,143.916,0.04896580866124734,UP,0.04586029996815073,UP,-0.05819376150263497,DOWN,0.07634344150588009,UP,18.800000000000004,169.91848374214345,96814,135881,0.0635708099878172,0.06500521475432673,UP,UP
92,2010-09,47724,114922,57986,43846,0.1,5501,15253.527,2.028148247292285,92.8564,4.346,439,632,196.0,9.5,2.8449093838194073,310594.0,143.019,0.04911082313244944,UP,0.04489929423916827,UP,-0.050684128698380744,DOWN,-0.012726166750104963,DOWN,18.900000000000006,171.94663198943573,97253,136513,0.061774990701107056,0.06399903553985883,UP,UP
93,2010-10,47847,115054,58008,44114,0.1,5508,15309.474,2.1041341542702074,92.6037,4.225,436,605,196.0,9.4,2.8507065015037334,310817.0,142.531,0.049255587693079854,UP,0.04394626464804739,UP,-0.037067679201212504,DOWN,0.05001714737812332,UP,19.000000000000007,174.05076614370594,97689,137118,0.060206929168820734,0.06261211169141476,UP,UP
94,2010-11,47970,115186,58030,44382,0.0,5506,15323.464,2.1041341542702074,92.6773,4.3,431,552,196.0,9.8,2.9338568698359038,311003.33,142.173,0.049271060859702044,DOWN,0.04228367902033476,UP,-0.033925767389259065,DOWN,0.0367808710780644,UP,19.000000000000007,176.15490029797616,98120,137670,0.05884204420626497,0.060098138801505205,UP,UP
95,2010-12,48093,115318,58052,44650,0.2,5467,15337.454,1.9459101490553132,93.5851,4.714,427,565,196.0,9.3,3.0301337002713233,311189.66,142.06,0.04928651549669099,UP,0.04062687849705074,UP,-0.033633239358536376,DOWN,-0.06636955750816885,DOWN,19.200000000000006,178.10081044703148,98547,138235,0.0576115699546088,0.05842517598476979,UP,UP
96,2011-01,48218,115725,58388,44756,0.5,5427,15351.448,1.9878743481543455,93.3944,4.755,431,520,196.0,9.1,3.1135153092103742,311376.0,141.521,0.04930196290015929,UP,0.03897670080117928,UP,-0.02780228131195184,DOWN,-0.050989662931027246,DOWN,19.700000000000006,180.08868479518583,98978,138755,0.056604671071392235,0.05690959314068258,UP,UP
97,2011-02,48339,116129,58726,44866,0.5,5451,15420.148,2.0918640616783932,92.993,4.9525,424,615,196.0,9.0,3.0819099697950434,311564.0,140.35,0.049492714177504456,UP,0.0385866271903115,UP,-0.008949014156281368,DOWN,-0.011592696379189981,DOWN,20.200000000000006,182.18054885686422,99402,139370,0.05562216535390229,0.05623366987157906,UP,UP
98,2011-03,48460,116533,59064,44976,1.0,5477,15488.848,1.9740810260220096,93.982,4.836,420,591,196.0,9.0,2.995732273553991,311752.0,139.981,0.049683235392234855,UP,0.03820016396344604,UP,-0.010895332039245836,DOWN,0.007110155504978886,UP,21.200000000000006,184.15462988288624,99822,139961,0.05461946756833916,0.05565702209350405,UP,UP
99,2011-04,48581,116937,59402,45086,0.6,5485,15557.539,1.9021075263969205,93.6525,4.84,417,549,196.0,9.1,2.8791984572980396,311940.0,140.01,0.04987349810861063,UP,0.03781648243639322,UP,-0.012321228532276617,DOWN,0.04162950258265791,UP,21.800000000000008,186.05673740928316,100239,140510,0.0536383385032926,0.054020171554334626,UP,UP
100,2011-05,48702,117341,59740,45196,0.5,5516,15587.589,1.8870696490323797,93.7775,4.6375,415,549,198.8,9.0,2.791165107812717,312162.0,139.905,0.04993429373210064,UP,0.036161183549254745,UP,-0.0007249003579485225,DOWN,-0.1669828672893481,DOWN,22.300000000000008,187.94380705831554,100654,141059,0.05277209150457743,0.052660211295942866,UP,UP
101,2011-06,48823,117745,60078,45306,-0.1,5528,15617.639,1.8870696490323797,94.0467,4.51,416,579,198.8,9.1,2.747270914255491,312384.0,139.862,0.049995002945093216,DOWN,0.0345149743333182,UP,0.00217312653431348,UP,-0.114623084760992,DOWN,22.200000000000006,189.83087670734793,101070,141638,0.05222586054880496,0.05009822500149102,UP,UP
102,2011-07,48944,118149,60416,45416,0.1,5547,15647.68,1.9021075263969205,94.4931,4.545,417,634,198.8,9.0,2.6100697927420065,312606.0,139.73,0.05005559714144962,UP,0.03287627814061273,UP,0.007055660206688975,UP,-0.1391343505015489,DOWN,22.300000000000008,191.73298423374484,101487,142272,0.051735761598119816,0.05032748728308743,UP,UP
103,2011-08,49065,118553,60754,45526,0.3,5552,15712.54,1.8718021769015913,95.0969,4.27,414,614,198.8,9.0,2.6026896854443837,312823.33,139.309,0.05022815913378328,UP,0.03332377040609877,UP,0.0050559876574576244,UP,-0.15001280924377977,DOWN,22.60000000000001,193.60478641064643,101901,142886,0.051210141799145834,0.05026760682747276,UP,UP
104,2011-09,49186,118957,61092,45636,0.2,5584,15777.4,1.840549633397487,95.0281,4.106,417,603,198.8,9.0,2.5877640352277083,313040.66,138.668,0.050400481522112815,UP,0.03376778131526317,UP,0.0149754715667504,UP,-0.09705894248219743,DOWN,22.800000000000008,195.44533604404393,102318,143489,0.050769780207027645,0.04983852902386918,UP,UP
105,2011-10,49307,119361,61430,45746,-0.2,5588,15842.259,1.791759469228055,95.6924,4.0675,422,566,199.4,8.8,2.617395832834079,313258.0,137.952,0.050572559998467714,DOWN,0.034209137404549395,UP,0.014419860528306945,UP,-0.16070597359539357,DOWN,22.60000000000001,197.23709551327198,102740,144055,0.05041256188894215,0.0493533021194311,UP,UP
106,2011-11,49428,119765,61768,45856,-0.1,5593,15917.779,1.7404661748405046,95.6913,3.9925,433,585,199.4,8.6,2.5726122302071057,313443.0,137.152,0.05078364806360327,DOWN,0.03805141221947048,UP,0.015677409119035295,UP,-0.18975106045984919,DOWN,22.500000000000007,198.97756168811247,103173,144640,0.05021597151964566,0.04938837956901462,UP,UP
107,2011-12,49549,120169,62106,45966,-0.2,5611,15993.299,1.667706820558076,96.1938,3.958,434,610,199.3,8.5,2.772588722239781,313628.0,136.674,0.05099448709936613,DOWN,0.04187201116580325,UP,0.025998936855972616,UP,-0.15428028914207306,DOWN,22.300000000000008,200.64526850867054,103607,145250,0.050071303375289,0.0495012603118699,UP,UP
108,2012-01,49423,120100,61971,46034,0.4,5626,16068.805,1.667706820558076,96.779,3.915,441,545,199.3,8.3,2.8735646395797834,313813.0,136.607,0.05120503293362608,UP,0.04567001298713592,UP,0.03601221498639728,UP,-0.17561637964689922,DOWN,22.700000000000006,202.3129753292286,104048,145795,0.04995472790944501,0.0494917374204107,UP,UP
109,2012-02,49302,120028,61839,46100,0.4,5629,16114.905,1.5686159179138452,97.0959,3.89,450,561,199.3,8.3,2.8390784635086144,313999.67,136.533,0.051321407439695724,UP,0.044069654107366144,UP,0.03213272839974561,UP,-0.28786191442152614,DOWN,23.100000000000005,203.88159124714244,104498,146356,0.04999569828128123,0.04890974277457053,UP,UP
110,2012-03,49181,119956,61707,46166,0.8,5625,16161.005,1.589235205116581,96.5919,3.954,458,582,199.3,8.2,2.8449093838194073,314186.34,137.904,0.05143764366076513,UP,0.04248096065175665,UP,0.02666344228889957,UP,-0.21685008934420558,DOWN,23.900000000000006,205.47082645225902,104956,146938,0.050152614807825464,0.0486469167293098,UP,UP
111,2012-04,49060,119884,61575,46232,0.3,5618,16207.115,1.589235205116581,97.2942,3.91,463,671,199.3,8.2,2.6741486494265287,314373.0,139.154,0.05155377529240743,UP,0.0409049990626001,UP,0.02395863495485841,UP,-0.1797095984152431,DOWN,24.200000000000006,207.0600616573756,105419,147609,0.050385551035420605,0.049288225298942494,UP,UP
112,2012-05,48939,119812,61443,46298,-0.1,5604,16244.595,1.547562508716013,97.4853,3.798,474,626,200.8,8.2,2.653241964607215,314592.0,140.155,0.05163702509917607,DOWN,0.04128521736922251,UP,0.01582766854370508,UP,-0.1983440575170523,DOWN,24.100000000000005,208.60762416609163,105893,148235,0.05074025735301774,0.04962060974730396,UP,UP
113,2012-06,48818,119740,61311,46364,-0.1,5621,16282.075,1.5686159179138452,97.4959,3.675,486,625,200.7,8.2,2.5494451709255714,314811.0,141.029,0.05172015907957473,DOWN,0.04166382883678627,UP,0.01668349755456906,UP,-0.18483152603972416,DOWN,24.000000000000004,210.17624008400546,106379,148860,0.051194842920210114,0.0497317600927527,UP,UP
114,2012-07,48697,119668,61179,46430,-0.2,5632,16319.541,1.5260563034950492,97.6922,3.55,490,676,200.7,8.2,2.509599262378372,315030.0,141.669,0.05180313303494905,DOWN,0.04204056095483658,UP,0.015207377782643883,UP,-0.22027566754490596,DOWN,23.800000000000004,211.7022963875005,106869,149536,0.05167307386880286,0.049796448176284265,UP,UP
115,2012-08,48576,119596,61047,46496,0.6,5648,16353.171,1.5260563034950492,97.3061,3.602,495,684,200.7,8.1,2.424802725718295,315248.33,142.279,0.05187393379688958,UP,0.03996270383553972,UP,0.017143276986437656,UP,-0.20421486942731815,DOWN,24.400000000000006,213.22835269099554,107364,150220,0.05222317663024369,0.05005377673029486,UP,UP
116,2012-09,48455,119524,60915,46562,0.4,5661,16386.801,1.5040773967762742,97.2383,3.4975,511,652,200.7,7.8,2.4765384001174837,315466.66,142.908,0.051944636558424274,UP,0.037897657401432715,UP,0.013695189594451602,UP,-0.2018845559916726,DOWN,24.800000000000004,214.7324300877718,107875,150872,0.05288753884475978,0.05017341800080177,UP,UP
117,2012-10,48334,119452,60783,46628,0.0,5674,16420.419,1.589235205116581,97.5425,3.3825,520,730,200.7,7.8,2.4336133554004498,315685.0,143.6,0.05201520186261622,DOWN,0.03584463150581521,UP,0.015272894991944116,UP,-0.11994518334093816,DOWN,24.800000000000004,216.32166529288838,108395,151602,0.053580437441357605,0.05106349463515351,UP,UP
118,2012-11,48213,119380,60651,46694,-0.5,5684,16496.339,1.5260563034950492,97.934,3.352,534,668,200.7,7.7,2.501435951739211,315855.33,144.585,0.05222751504620802,DOWN,0.035701816866362646,UP,0.016139394395403236,UP,-0.13146616560614538,DOWN,24.300000000000004,217.84772159638342,108929,152270,0.054289102934808826,0.051407364208774724,UP,UP
119,2012-12,48092,119308,60519,46760,-0.3,5724,16572.259,1.5040773967762742,98.1984,3.345,551,677,200.7,7.9,2.6026896854443837,316025.66,145.503,0.05243959936670965,DOWN,0.03556033085111748,UP,0.0199389049253696,UP,-0.10326983661008499,DOWN,24.000000000000004,219.3517989931597,109480,152947,0.05513698906211345,0.05163506041950603,UP,UP
120,2013-01,48209,120046,60951,46934,0.3,5746,16648.189,1.3862943611198906,98.2029,3.414,559,714,201.4,8.0,2.7788192719904172,316196.0,146.827,0.05265148515477741,UP,0.03542162692303989,UP,0.021105250489432667,UP,-0.18481526145792246,DOWN,24.300000000000004,220.73809335427958,110039,153661,0.05598251728377784,0.05254735185913253,UP,UP
121,2013-02,48331,120784,61378,47111,0.8,5784,16675.019,1.410986973710262,98.6733,3.5325,581,729,201.4,7.7,2.7536607123542622,316375.0,147.785,0.052706500197550375,UP,0.034167111110060225,UP,0.027163678374574077,UP,-0.10590420872041528,DOWN,25.100000000000005,222.14908032798985,110620,154390,0.056932972100795454,0.05343985874784664,UP,UP
122,2013-03,48453,121522,61805,47288,0.3,5802,16701.849,1.4350845252893227,99.0788,3.565,596,816,201.4,7.5,2.6878474937846906,316554.0,149.963,0.052761453022233167,UP,0.03291819010348206,UP,0.030981737608728528,UP,-0.10202914732418611,DOWN,25.400000000000006,223.58416485327916,111216,155206,0.05793304164464399,0.05474253769384747,UP,UP
123,2013-04,48575,122260,62232,47465,-0.1,5796,16728.687,1.4816045409242156,98.9658,3.445,606,712,203.8,7.6,2.580216829592325,316733.0,151.519,0.052816368992179535,DOWN,0.03167468679940352,UP,0.031192295776383917,UP,-0.07012724765798481,DOWN,25.300000000000004,225.0657693942034,111822,155918,0.058965435810572946,0.05476334210903053,UP,UP
124,2013-05,48697,122998,62659,47642,0.2,5829,16803.737,1.5260563034950492,99.0567,3.536,620,708,203.8,7.5,2.379546134130174,316954.0,152.85,0.05301632729039545,UP,0.03384106408682434,UP,0.03936483058865213,UP,-0.013994289803217284,DOWN,25.500000000000004,226.59182569769843,112442,156626,0.06000838281623371,0.055061945552325686,UP,UP
125,2013-06,48819,123736,63086,47819,0.2,5855,16878.787,1.410986973710262,99.2424,4.07,629,736,203.8,7.5,2.2823823856765264,317175.0,154.199,0.05321600693623394,UP,0.035992816941272765,UP,0.040786413029742744,UP,-0.10590420872041528,DOWN,25.700000000000003,228.0028126714087,113071,157362,0.06100775098015291,0.05554261677848991,UP,UP
126,2013-07,48941,124474,63513,47996,0.0,5859,16953.838,1.7047480922384253,98.9258,4.37,640,784,203.8,7.3,2.2082744135228043,317396.0,155.604,0.0534154116624028,DOWN,0.038131014732922616,UP,0.03951432170691028,UP,0.1107305250201072,UP,25.700000000000003,229.7075607636471,113711,158146,0.06205635656913602,0.05598149046990054,UP,UP
127,2013-08,49063,125212,63940,48173,0.1,5878,17033.228,1.7047480922384253,99.5059,4.456,654,765,201.8,7.2,2.2082744135228043,317621.33,156.965,0.05362746891085683,UP,0.040744201076895414,UP,0.03991506780578475,UP,0.1107305250201072,UP,25.800000000000004,231.41230885588553,114365,158911,0.06317015772586362,0.05624341081705731,UP,UP
128,2013-09,49185,125950,64367,48350,0.1,5910,17112.618,1.6863989535702288,100.0391,4.49,661,776,201.8,7.2,2.1400661634962708,317846.66,158.227,0.053839225493198514,UP,0.043339892417137635,UP,0.04304527636348396,UP,0.11441577402758295,UP,25.900000000000006,233.09870780945576,115026,159687,0.06418504036237535,0.056783854067597714,UP,UP
129,2013-10,49307,126688,64794,48527,-0.3,5931,17192.019,1.589235205116581,99.9203,4.192,670,801,201.8,7.2,2.1972245773362196,318072.0,159.242,0.05405071493246812,DOWN,0.045919643144690936,UP,0.04429849646992998,UP,0.0,DOWN,25.600000000000005,234.68794301457234,115696,160488,0.06518409895211669,0.05696050768640044,UP,UP
130,2013-11,49429,127426,65221,48704,-0.2,5963,17193.929,1.6094379124341003,100.1661,4.255,687,839,201.8,6.9,2.151762203259462,318263.0,160.074,0.05402427866261551,DOWN,0.0414178788963635,UP,0.047918499906114735,UP,0.053198167015052325,UP,25.400000000000006,236.29738092700643,116383,161327,0.06619018267656503,0.05777810022698916,UP,UP
131,2013-12,49551,128164,65648,48881,0.0,5932,17195.839,1.6486586255873816,100.3777,4.4575,707,778,201.8,6.7,2.4336133554004498,318454.0,160.994,0.053997874104266236,DOWN,0.036937283083281355,UP,0.035693562581481084,UP,0.0917823182704465,UP,25.400000000000006,237.94603955259382,117090,162105,0.06720098568815487,0.05815281727171208,UP,UP
132,2014-01,49757,128740,65993,48934,0.4,5985,17197.738,1.62924053973028,99.999,4.432,713,838,207.0,6.6,2.509599262378372,318645.0,161.927,0.05397146667921982,UP,0.03247642180115564,UP,0.04075237845283868,UP,0.16147971971704916,UP,25.800000000000004,239.5752800923241,117803,162943,0.06817888937567579,0.058651569105444744,UP,UP
133,2014-02,49967,129317,66335,48983,0.4,6007,17304.658,1.667706820558076,100.7583,4.3025,714,876,207.0,6.7,2.5494451709255714,318839.33,162.526,0.05427391281997738,UP,0.037063982586436284,UP,0.037829971011560895,UP,0.16716008056401496,UP,26.200000000000003,241.24298691288217,118517,163819,0.06895550563487603,0.059280291154215584,UP,UP
134,2014-03,50177,129894,66677,49032,0.6,6038,17411.578,1.7227665977411035,101.7767,4.3425,726,893,207.0,6.7,2.424802725718295,319033.66,163.086,0.05457599050833697,UP,0.04161595538064401,UP,0.039870145585434766,UP,0.18270773553680295,UP,26.800000000000004,242.96575351062327,119243,164712,0.06968917147775211,0.05944522747878105,UP,UP
135,2014-04,50387,130471,67019,49081,0.3,6084,17518.508,1.7404661748405046,101.8425,4.3375,743,834,207.0,6.2,2.2407096892759584,319228.0,163.393,0.05487773002368214,UP,0.04613289191498999,UP,0.04849434993861056,UP,0.16102734413446726,UP,27.100000000000005,244.70621968546376,119986,165546,0.07046674798271131,0.05991887379050349,UP,UP
136,2014-05,50597,131048,67361,49130,0.3,6109,17613.748,1.6486586255873816,102.2594,4.192,754,891,207.0,6.3,2.151762203259462,319458.33,163.66,0.05513629273652059,UP,0.04707843133032731,UP,0.04691763460421708,UP,0.07727517478450656,UP,27.400000000000006,246.35487831105115,120740,166437,0.07120194022382181,0.06075606156633284,UP,UP
137,2014-06,50807,131625,67703,49179,0.2,6133,17708.988,1.7404661748405046,102.5986,4.1625,771,800,207.0,6.1,2.1041341542702074,319688.66,164.062,0.05539448286967703,UP,0.04801468090871363,UP,0.04638802959416595,UP,0.20986355304601537,UP,27.600000000000005,248.09534448589164,121511,167237,0.07198885367504877,0.0608630843249421,UP,UP
138,2014-07,51017,132202,68045,49228,0.0,6178,17804.228,1.824549292051046,102.8163,4.13,790,839,207.0,6.2,2.0149030205422647,319919.0,164.577,0.05565229948830797,DOWN,0.048941718309228256,UP,0.05301565393373831,UP,0.06791563994214084,UP,27.600000000000005,249.9198937779427,122301,168076,0.07282507737532509,0.06089760107430981,UP,UP
139,2014-08,51227,132779,68387,49277,-0.2,6210,17840.178,1.6863989535702288,102.6562,4.115,793,908,207.0,6.1,2.0412203288596382,320149.67,165.215,0.05572449285985521,DOWN,0.04628708011116786,UP,0.05494432794866176,UP,-0.010821894478464142,DOWN,27.400000000000006,251.60629273151292,123094,168984,0.0735532030621219,0.06145973881001862,UP,UP
140,2014-09,51437,133356,68729,49326,0.1,6242,17876.128,1.6863989535702288,102.9776,4.1625,797,975,207.0,5.9,1.9459101490553132,320380.34,165.905,0.05579658227468015,UP,0.04365010534916025,UP,0.05465481243058086,UP,0.0,DOWN,27.500000000000007,253.29269168508316,123891,169959,0.07424395700559155,0.062341582214289815,UP,UP
141,2014-10,51647,133933,69071,49375,-0.3,6259,17912.079,1.667706820558076,102.9892,4.036,806,920,207.0,5.7,1.8562979903656263,320611.0,166.642,0.05586857281877416,DOWN,0.04103002523303028,UP,0.05382759508597492,UP,0.04819662399448214,UP,27.200000000000006,254.96039850564122,124697,170879,0.07492073322543003,0.06273653027499447,UP,UP
142,2014-11,51857,134510,69413,49424,-0.5,6272,17962.559,1.7404661748405046,103.6402,3.9975,814,863,207.0,5.8,2.0149030205422647,320796.67,167.335,0.05599359556943032,DOWN,0.043733179624206836,UP,0.05052157290713786,UP,0.0782679985910932,UP,26.700000000000006,256.70086468048174,125511,171742,0.07550692761193649,0.06255998960755577,UP,UP
143,2014-12,52067,135087,69755,49473,-0.6,6293,18013.039,1.62924053973028,103.6345,3.864,826,955,207.1,5.6,2.1162555148025524,320982.34,168.05,0.05611847368300698,DOWN,0.04642844859432851,UP,0.059076480269110866,UP,-0.011848023401234805,DOWN,26.100000000000005,258.33010522021203,126337,172697,0.07601006987920449,0.06329434041464592,UP,UP
144,2015-01,52127,135297,69871,49593,-0.5,6320,18063.529,1.5686159179138452,102.8239,3.67,830,954,208.2,5.7,2.2823823856765264,321168.0,168.634,0.05624324029791262,DOWN,0.04911706956503042,UP,0.05446286914882953,UP,-0.03792033010272639,DOWN,25.600000000000005,259.8987211381259,127167,173651,0.0764874454986961,0.06364709148526497,UP,UP
145,2015-02,52192,135507,69989,49709,0.4,6361,18135.619,1.5040773967762742,102.1513,3.71,830,863,208.2,5.5,2.3608540011180215,321360.0,169.13,0.05643396502364949,UP,0.04690219122678967,UP,0.057260141828642815,UP,-0.10326983661008499,DOWN,26.000000000000004,261.40279853490216,127997,174514,0.07695041594354653,0.06324280784259971,UP,UP
146,2015-03,52257,135717,70107,49825,0.6,6334,18207.709,1.62924053973028,101.824,3.77,843,781,208.2,5.4,2.2512917986064953,321552.0,169.8,0.056624461984375776,UP,0.04470968859288699,UP,0.04785911683180106,UP,-0.05581750595900794,DOWN,26.600000000000005,263.03203907463245,128840,175295,0.07740789662711585,0.06227177471316942,UP,UP
147,2015-04,52322,135927,70225,49941,0.2,6392,18279.784,1.589235205116581,101.244,3.672,868,1001,208.4,5.4,2.0149030205422647,321744.0,170.298,0.05681468496693023,UP,0.04253782769904129,UP,0.04938483406692722,UP,-0.09090009647648253,DOWN,26.800000000000004,264.62127427974906,129708,176296,0.07791070091277172,0.06291529873073003,UP,UP
148,2015-05,52387,136137,70343,50057,0.5,6427,18320.394,1.6094379124341003,100.783,3.84,878,1012,208.4,5.6,1.9021075263969205,321972.0,170.881,0.05690058141701763,UP,0.03933513208542354,UP,0.050744772721519206,UP,-0.024077007769454366,DOWN,27.300000000000004,266.23071219218315,130586,177308,0.07839254017821236,0.06327147388666514,UP,UP
149,2015-06,52452,136347,70461,50173,0.4,6441,18361.004,1.6863989535702288,100.4781,3.9825,896,962,208.4,5.3,1.840549633397487,322200.0,171.469,0.05698635630043451,UP,0.03615676048820031,UP,0.04899978092090693,UP,-0.03155753506450245,DOWN,27.700000000000003,267.9171111457534,131482,178270,0.07886516645734483,0.06388728692857365,UP,UP
150,2015-07,52517,136557,70579,50289,0.0,6472,18401.626,1.6486586255873816,101.1052,4.046,908,988,208.4,5.2,1.7047480922384253,322428.0,172.13,0.05707204709268426,DOWN,0.033003073093200656,UP,0.046490585259800626,UP,-0.10137099017774154,DOWN,27.700000000000003,269.56576977134074,132390,179258,0.07926689267498566,0.06440985082605988,UP,UP
151,2015-08,52582,136767,70697,50405,-0.1,6490,18412.796,1.6094379124341003,100.9442,3.905,921,974,208.4,5.1,1.8082887711792655,322655.33,172.937,0.05706645540304571,DOWN,0.03159275301426974,UP,0.04410163477061121,UP,-0.0467104635265907,DOWN,27.6,271.17520768377483,133311,180232,0.07973645326873563,0.06444087398989995,UP,UP
152,2015-09,52647,136977,70815,50521,-0.2,6508,18423.966,1.7749523509116738,100.6507,3.89,939,1040,208.4,5.0,1.7047480922384253,322882.66,173.828,0.05706087158721996,DOWN,0.03018612561351641,UP,0.041731545508203724,UP,0.05117811915655282,UP,27.400000000000002,272.9501600346865,134250,181272,0.08030158661741511,0.064441434187305,UP,UP
