DATE,Average expenditure 45 - 54
2003-01,50323
2003-02,50545
2003-03,50767
2003-04,50989
2003-05,51211
2003-06,51433
2003-07,51655
2003-08,51877
2003-09,52099
2003-10,52321
2003-11,52543
2003-12,52765
2004-01,53022
2004-02,53280
2004-03,53538
2004-04,53796
2004-05,54054
2004-06,54312
2004-07,54570
2004-08,54828
2004-09,55086
2004-10,55344
2004-11,55602
2004-12,55860
2005-01,55996
2005-02,56138
2005-03,56280
2005-04,56422
2005-05,56564
2005-06,56706
2005-07,56848
2005-08,56990
2005-09,57132
2005-10,57274
2005-11,57416
2005-12,57558
2006-01,57627
2006-02,57691
2006-03,57755
2006-04,57819
2006-05,57883
2006-06,57947
2006-07,58011
2006-08,58075
2006-09,58139
2006-10,58203
2006-11,58267
2006-12,58331
2007-01,58568
2007-02,58805
2007-03,59042
2007-04,59279
2007-05,59516
2007-06,59753
2007-07,59990
2007-08,60227
2007-09,60464
2007-10,60701
2007-11,60938
2007-12,61175
2008-01,60973
2008-02,60767
2008-03,60561
2008-04,60355
2008-05,60149
2008-06,59943
2008-07,59737
2008-08,59531
2008-09,59325
2008-10,59119
2008-11,58913
2008-12,58707
2009-01,58631
2009-02,58554
2009-03,58477
2009-04,58400
2009-05,58323
2009-06,58246
2009-07,58169
2009-08,58092
2009-09,58015
2009-10,57938
2009-11,57861
2009-12,57784
2010-01,57810
2010-02,57832
2010-03,57854
2010-04,57876
2010-05,57898
2010-06,57920
2010-07,57942
2010-08,57964
2010-09,57986
2010-10,58008
2010-11,58030
2010-12,58052
2011-01,58388
2011-02,58726
2011-03,59064
2011-04,59402
2011-05,59740
2011-06,60078
2011-07,60416
2011-08,60754
2011-09,61092
2011-10,61430
2011-11,61768
2011-12,62106
2012-01,61971
2012-02,61839
2012-03,61707
2012-04,61575
2012-05,61443
2012-06,61311
2012-07,61179
2012-08,61047
2012-09,60915
2012-10,60783
2012-11,60651
2012-12,60519
2013-01,60951
2013-02,61378
2013-03,61805
2013-04,62232
2013-05,62659
2013-06,63086
2013-07,63513
2013-08,63940
2013-09,64367
2013-10,64794
2013-11,65221
2013-12,65648
2014-01,65993
2014-02,66335
2014-03,66677
2014-04,67019
2014-05,67361
2014-06,67703
2014-07,68045
2014-08,68387
2014-09,68729
2014-10,69071
2014-11,69413
2014-12,69755
2015-01,69871
2015-02,69989
2015-03,70107
2015-04,70225
2015-05,70343
2015-06,70461
2015-07,70579
2015-08,70697
2015-09,70815
2015-10,70933
2015-11,71051
2015-12,71169
2016-01,71394
2016-02,71622
2016-03,71850
2016-04,72078
2016-05,72306
2016-06,72534
2016-07,72762
2016-08,72990
2016-09,73218
2016-10,73446
2016-11,73674
2016-12,73902
2017-01,74029
2017-02,74153
2017-03,74277
2017-04,74401
2017-05,74525
2017-06,74649
2017-07,74773
2017-08,74897
2017-09,75021
2017-10,75145
2017-11,75269
2017-12,75393
2018-01,75551
2018-02,75715
2018-03,75879
2018-04,76043
2018-05,76207
2018-06,76371
2018-07,76535
2018-08,76699
2018-09,76863
2018-10,77027
2018-11,77191
2018-12,77355
2019-01,77142
2019-02,76928
2019-03,76714
2019-04,76500
2019-05,76286
2019-06,76072
2019-07,75858
2019-08,75644
2019-09,75430
2019-10,75216
2019-11,75002
2019-12,74788
2020-01,75546
2020-02,76301
2020-03,77056
2020-04,77811
2020-05,78566
2020-06,79321
2020-07,80076
2020-08,80831
2020-09,81586
2020-10,82341
2020-11,83096
2020-12,83851
2021-01,84456
2021-02,85058
2021-03,85660
2021-04,86262
2021-05,86864
2021-06,87466
2021-07,88068
2021-08,88670
2021-09,89272
2021-10,89874
2021-11,90476
2021-12,91078
