DATE,Average expenditure 65 - 74
2003-01,33869
2003-02,34109
2003-03,34349
2003-04,34589
2003-05,34829
2003-06,35069
2003-07,35309
2003-08,35549
2003-09,35789
2003-10,36029
2003-11,36269
2003-12,36509
2004-01,36684
2004-02,36856
2004-03,37028
2004-04,37200
2004-05,37372
2004-06,37544
2004-07,37716
2004-08,37888
2004-09,38060
2004-10,38232
2004-11,38404
2004-12,38576
2005-01,38772
2005-02,38971
2005-03,39170
2005-04,39369
2005-05,39568
2005-06,39767
2005-07,39966
2005-08,40165
2005-09,40364
2005-10,40563
2005-11,40762
2005-12,40961
2006-01,41068
2006-02,41176
2006-03,41284
2006-04,41392
2006-05,41500
2006-06,41608
2006-07,41716
2006-08,41824
2006-09,41932
2006-10,42040
2006-11,42148
2006-12,42256
2007-01,42193
2007-02,42124
2007-03,42055
2007-04,41986
2007-05,41917
2007-06,41848
2007-07,41779
2007-08,41710
2007-09,41641
2007-10,41572
2007-11,41503
2007-12,41434
2008-01,41560
2008-02,41687
2008-03,41814
2008-04,41941
2008-05,42068
2008-06,42195
2008-07,42322
2008-08,42449
2008-09,42576
2008-10,42703
2008-11,42830
2008-12,42957
2009-01,42830
2009-02,42703
2009-03,42576
2009-04,42449
2009-05,42322
2009-06,42195
2009-07,42068
2009-08,41941
2009-09,41814
2009-10,41687
2009-11,41560
2009-12,41433
2010-01,41702
2010-02,41970
2010-03,42238
2010-04,42506
2010-05,42774
2010-06,43042
2010-07,43310
2010-08,43578
2010-09,43846
2010-10,44114
2010-11,44382
2010-12,44650
2011-01,44756
2011-02,44866
2011-03,44976
2011-04,45086
2011-05,45196
2011-06,45306
2011-07,45416
2011-08,45526
2011-09,45636
2011-10,45746
2011-11,45856
2011-12,45966
2012-01,46034
2012-02,46100
2012-03,46166
2012-04,46232
2012-05,46298
2012-06,46364
2012-07,46430
2012-08,46496
2012-09,46562
2012-10,46628
2012-11,46694
2012-12,46760
2013-01,46934
2013-02,47111
2013-03,47288
2013-04,47465
2013-05,47642
2013-06,47819
2013-07,47996
2013-08,48173
2013-09,48350
2013-10,48527
2013-11,48704
2013-12,48881
2014-01,48934
2014-02,48983
2014-03,49032
2014-04,49081
2014-05,49130
2014-06,49179
2014-07,49228
2014-08,49277
2014-09,49326
2014-10,49375
2014-11,49424
2014-12,49473
2015-01,49593
2015-02,49709
2015-03,49825
2015-04,49941
2015-05,50057
2015-06,50173
2015-07,50289
2015-08,50405
2015-09,50521
2015-10,50637
2015-11,50753
2015-12,50869
2016-01,51217
2016-02,51561
2016-03,51905
2016-04,52249
2016-05,52593
2016-06,52937
2016-07,53281
2016-08,53625
2016-09,53969
2016-10,54313
2016-11,54657
2016-12,55001
2017-01,55103
2017-02,55209
2017-03,55315
2017-04,55421
2017-05,55527
2017-06,55633
2017-07,55739
2017-08,55845
2017-09,55951
2017-10,56057
2017-11,56163
2017-12,56269
2018-01,56170
2018-02,56072
2018-03,55974
2018-04,55876
2018-05,55778
2018-06,55680
2018-07,55582
2018-08,55484
2018-09,55386
2018-10,55288
2018-11,55190
2018-12,55092
2019-01,54860
2019-02,54633
2019-03,54406
2019-04,54179
2019-05,53952
2019-06,53725
2019-07,53498
2019-08,53271
2019-09,53044
2019-10,52817
2019-11,52590
2019-12,52363
2020-01,52703
2020-02,53042
2020-03,53381
2020-04,53720
2020-05,54059
2020-06,54398
2020-07,54737
2020-08,55076
2020-09,55415
2020-10,55754
2020-11,56093
2020-12,56432
2021-01,56802
2021-02,57169
2021-03,57536
2021-04,57903
2021-05,58270
2021-06,58637
2021-07,59004
2021-08,59371
2021-09,59738
2021-10,60105
2021-11,60472
2021-12,60839
