DATE,Average expenditure 25 - 34
2003-01,40706
2003-02,40887
2003-03,41068
2003-04,41249
2003-05,41430
2003-06,41611
2003-07,41792
2003-08,41973
2003-09,42154
2003-10,42335
2003-11,42516
2003-12,42697
2004-01,42898
2004-02,43095
2004-03,43292
2004-04,43489
2004-05,43686
2004-06,43883
2004-07,44080
2004-08,44277
2004-09,44474
2004-10,44671
2004-11,44868
2004-12,45065
2005-01,45278
2005-02,45488
2005-03,45698
2005-04,45908
2005-05,46118
2005-06,46328
2005-07,46538
2005-08,46748
2005-09,46958
2005-10,47168
2005-11,47378
2005-12,47588
2006-01,47576
2006-02,47570
2006-03,47564
2006-04,47558
2006-05,47552
2006-06,47546
2006-07,47540
2006-08,47534
2006-09,47528
2006-10,47522
2006-11,47516
2006-12,47510
2007-01,47564
2007-02,47618
2007-03,47672
2007-04,47726
2007-05,47780
2007-06,47834
2007-07,47888
2007-08,47942
2007-09,47996
2007-10,48050
2007-11,48104
2007-12,48158
2008-01,48020
2008-02,47881
2008-03,47742
2008-04,47603
2008-05,47464
2008-06,47325
2008-07,47186
2008-08,47047
2008-09,46908
2008-10,46769
2008-11,46630
2008-12,46491
2009-01,46504
2009-02,46514
2009-03,46524
2009-04,46534
2009-05,46544
2009-06,46554
2009-07,46564
2009-08,46574
2009-09,46584
2009-10,46594
2009-11,46604
2009-12,46614
2010-01,46740
2010-02,46863
2010-03,46986
2010-04,47109
2010-05,47232
2010-06,47355
2010-07,47478
2010-08,47601
2010-09,47724
2010-10,47847
2010-11,47970
2010-12,48093
2011-01,48218
2011-02,48339
2011-03,48460
2011-04,48581
2011-05,48702
2011-06,48823
2011-07,48944
2011-08,49065
2011-09,49186
2011-10,49307
2011-11,49428
2011-12,49549
2012-01,49423
2012-02,49302
2012-03,49181
2012-04,49060
2012-05,48939
2012-06,48818
2012-07,48697
2012-08,48576
2012-09,48455
2012-10,48334
2012-11,48213
2012-12,48092
2013-01,48209
2013-02,48331
2013-03,48453
2013-04,48575
2013-05,48697
2013-06,48819
2013-07,48941
2013-08,49063
2013-09,49185
2013-10,49307
2013-11,49429
2013-12,49551
2014-01,49757
2014-02,49967
2014-03,50177
2014-04,50387
2014-05,50597
2014-06,50807
2014-07,51017
2014-08,51227
2014-09,51437
2014-10,51647
2014-11,51857
2014-12,52067
2015-01,52127
2015-02,52192
2015-03,52257
2015-04,52322
2015-05,52387
2015-06,52452
2015-07,52517
2015-08,52582
2015-09,52647
2015-10,52712
2015-11,52777
2015-12,52842
2016-01,53045
2016-02,53252
2016-03,53459
2016-04,53666
2016-05,53873
2016-06,54080
2016-07,54287
2016-08,54494
2016-09,54701
2016-10,54908
2016-11,55115
2016-12,55322
2017-01,55419
2017-02,55513
2017-03,55607
2017-04,55701
2017-05,55795
2017-06,55889
2017-07,55983
2017-08,56077
2017-09,56171
2017-10,56265
2017-11,56359
2017-12,56453
2018-01,56513
2018-02,56569
2018-03,56625
2018-04,56681
2018-05,56737
2018-06,56793
2018-07,56849
2018-08,56905
2018-09,56961
2018-10,57017
2018-11,57073
2018-12,57129
2019-01,57171
2019-02,57214
2019-03,57257
2019-04,57300
2019-05,57343
2019-06,57386
2019-07,57429
2019-08,57472
2019-09,57515
2019-10,57558
2019-11,57601
2019-12,57644
2020-01,58166
2020-02,58688
2020-03,59210
2020-04,59732
2020-05,60254
2020-06,60776
2020-07,61298
2020-08,61820
2020-09,62342
2020-10,62864
2020-11,63386
2020-12,63908
2021-01,64237
2021-02,64569
2021-03,64901
2021-04,65233
2021-05,65565
2021-06,65897
2021-07,66229
2021-08,66561
2021-09,66893
2021-10,67225
2021-11,67557
2021-12,67889
